source_word,target_word
To be,SER
To be,ESTAR
To eat,COMER
To go,IR
To make/do,HACER
To have,TENER
To talk,HABLAR
To see/watch,VER
To want,QUERER
To come,VENIR
To drink,BEBER
To buy,COMPRAR
To put,PONER
To learn,APRENDER
To write,ESCRIBIR
To be able to,PODER
To know,SABER
To live,VIVIR
To say/tell,DECIR
