source_word,target_word
To rain,LLOVER
To snow,NEVAR
To hail,GRANIZAR
To drizzle,LLOVIZNAR
To sprinkle,CHISPEAR
To heat,CALENTAR
To cool,ENFRÍAR
To freeze,CONGELAR
To melt,DERRETIR
