source_word,target_word
To sing,CANTAR
To dance,BAILAR
To swim,NADAR
To read,LEER
To play,JUGAR
To run,CORRER
To walk,CAMINAR
To paint,PINTAR
To jump,SALTAR
To fly,VOLAR
To climb,ESCALAR
To write,ESCRIBIR
To drive,CONDUCIR
To throw,TIRAR
