source_word,target_word
To cook,COCINAR
To fry,FREÍR
To cut,CORTAR
To chop,PICAR
To mix,MEZCLAR
To peel,PELAR
To grate,RALLAR
To heat,CALENTAR
To bake,HORNEAR
To stew,ESTOFAR
To melt,FUNDIR
To boil,HERVIR
To roast/to grill,ASAR
